"regime","gamma","estimator","target","bias_own","mcse_bias","bias_pop","rmse_own","sd_est","mean_se","cover95","mcse_cover","target_pop","target_surv","target_surv_s","R"
"MNAR_state",0.3,"sm","target_surv",0.104047544652877,0.00170576697199323,0.0924192938002655,0.117186274239233,0.0541560413648245,0.0535948885608881,0.528,0.0157865765763195,0.189650757663719,0.178022506811107,0.17537740890212,1000
"MNAR_state",0.3,"ssm","target_surv_s",0.00242720933500188,0.00180942125645877,-0.0118461394265967,0.0572417908804173,0.0574286309813059,0.0572571066696195,0.953,0.00669260786241059,0.189650757663719,0.178022506811107,0.17537740890212,1000
"MNAR_state",0.3,"ipw","target_pop",-0.11466456323441,0.00138772157281288,-0.11466456323441,0.122767289838233,0.044020036660278,NA,NA,NA,0.189650757663719,0.178022506811107,0.17537740890212,1000
"MNAR_state",0.3,"ec","target_surv",0.103239798258207,0.00143202258530132,0.091611547405595,0.112725746573369,0.0454419320422659,0.0450504083120624,0.362,0.0151972365909069,0.189650757663719,0.178022506811107,0.17537740890212,1000
"MNAR_state",0,"naive","target_surv",-0.126953046112556,0.00138335015682116,-0.126953046112556,0.134271441177852,0.0437453729710596,0.0432878613302481,0.164,0.0117091417277271,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_state",0,"sm","target_surv",0.104047544652877,0.00170576697199323,0.104047544652877,0.117186274239233,0.0539410878898725,0.0533902734394963,0.524,0.0157931630777371,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_state",0,"ssm","target_surv_s",0.00242720933500188,0.00180942125645877,0.00242720933500188,0.0572417908804173,0.0572189241713337,0.0570508017444497,0.951,0.00682634602111555,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_state",0,"ipw","target_pop",-0.102873579678811,0.00138387719012596,-0.102873579678811,0.111786288771058,0.043762039227519,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_state",0,"ec","target_surv",0.103239798258207,0.00143202258530132,0.103239798258207,0.112725746573369,0.0452845303035493,0.0449083454511363,0.361,0.0151881203577006,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_both",0.3,"naive","target_surv",-0.292339203590238,0.00135280634152673,-0.323370795634006,0.295449597847842,0.0429568833705505,0.0433239565528988,0,0,0.189635652260733,0.158604060216964,0.155768396149399,1000
"MNAR_both",0.3,"sm","target_surv",0.0119247326234298,0.00173266957043607,-0.019106859420339,0.0560476667187413,0.0549464915796085,0.0530008729883411,0.931,0.00801492358042171,0.189635652260733,0.158604060216964,0.155768396149399,1000
"MNAR_both",0.3,"ssm","target_surv_s",-0.0615105425595186,0.00183901880636546,-0.095377798670852,0.0846295162810353,0.0582973708882423,0.056202915764306,0.802,0.012601428490453,0.189635652260733,0.158604060216964,0.155768396149399,1000
"MNAR_both",0.3,"ipw","target_pop",-0.305883965350532,0.00135430506439519,-0.305883965350532,0.30886454688715,0.0428803710002102,NA,NA,NA,0.189635652260733,0.158604060216964,0.155768396149399,1000
"MNAR_both",0.3,"ec","target_surv",0.0783330358479734,0.00142602189663559,0.0473014438042046,0.0903746060372844,0.0451867105183163,0.0453538388087961,0.591,0.0155473148807117,0.189635652260733,0.158604060216964,0.155768396149399,1000
"MNAR_both",0,"naive","target_surv",-0.292339203590238,0.00135280634152673,-0.292339203590238,0.295449597847842,0.0427794927234411,0.0431434275674292,0,0,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_both",0,"sm","target_surv",0.0119247326234298,0.00173266957043607,0.0119247326234298,0.0560476667187413,0.0547918227504354,0.0528533343484766,0.929,0.00812151463706124,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_both",0,"ssm","target_surv_s",-0.0615105425595186,0.00183901880636546,-0.0615105425595186,0.0846295162810353,0.0581548808799901,0.0560632009452589,0.802,0.012601428490453,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_both",0,"ipw","target_pop",-0.274633954214249,0.00135028800345005,-0.274633954214249,0.277930320803476,0.0426998558810346,NA,NA,NA,0.189636167648567,0.189636167648567,0.189636167648567,1000
"MNAR_both",0,"ec","target_surv",0.0783330358479734,0.00142602189663559,0.0783330358479734,0.0903746060372845,0.0450947718664167,0.0452492474539544,0.588,0.0155645751628498,0.189636167648567,0.189636167648567,0.189636167648567,1000
